Time;X Machine;Z Machine;Z Machine;Block time;
0:17:01;27.011;-11.25;-11.25;0:00:02;
0:17:04;31.01;-11.25;-11.25;0:00:02;
0:17:05;31.144;-11.25;-11.25;0:00:01;
0:17:10;23.598;-11.25;-11.25;0:00:04;
0:17:12;19.848;-11.25;-11.25;0:00:02;
0:17:18;19.848;-11.25;-11.25;0:00:05;
0:17:22;27.011;-11.25;-11.25;0:00:04;
0:17:27;35.205;-11.25;-11.25;0:00:04;
0:17:33;35.8;-11.25;-11.25;0:00:06;
0:17:43;19.848;-11.25;-11.25;0:00:09;
0:17:45;19.848;-11.25;-11.25;0:00:02;
0:17:47;16.098;-11.25;-11.25;0:00:02;
0:18:10;16.098;-11.25;-11.25;0:00:22;
0:18:12;18.498;-11.25;-11.25;0:00:02;
0:18:28;45.077;-11.25;-11.25;0:00:15;
0:18:30;45.077;-11.25;-11.25;0:00:02;
0:18:34;50.649;-11.25;-11.25;0:00:03;
0:18:36;50.649;-11.25;-11.25;0:00:02;
0:18:39;55.31;-11.25;-11.25;0:00:02;
0:18:43;55.31;-11.25;-11.25;0:00:03;
0:18:45;50.912;-11.25;-11.25;0:00:02;
0:18:48;50.912;-11.25;-11.25;0:00:02;
0:18:49;50.649;-11.25;-11.25;0:00:01;
0:18:51;50.649;-11.25;-11.25;0:00:02;
0:18:56;59.06;-11.25;-11.25;0:00:05;
0:19:05;59.06;-11.25;-11.25;0:00:08;
0:19:13;47.162;-11.25;-11.25;0:00:07;
0:19:18;47.162;-11.25;-11.25;0:00:05;
0:19:20;43.412;-11.25;-11.25;0:00:02;
0:19:27;35.812;-11.25;-11.25;0:00:07;
0:19:32;27.011;-11.25;-11.25;0:00:05;
0:19:40;19.411;-11.25;-11.25;0:00:07;
0:19:46;19.411;-11.25;-11.25;0:00:06;
0:19:54;27.011;-11.25;-11.25;0:00:07;
0:19:59;35.812;-11.25;-11.25;0:00:05;
0:20:06;43.412;-11.25;-11.25;0:00:07;
0:20:13;43.412;-11.25;-11.25;0:00:06;
